pickup_grid,trips,avg_value,lat,lon,cluster
-253_7352,426,0.041999999999999996,-1.2625,36.7625,2
-256_7349,157,0.04196178343949045,-1.2775,36.7475,4
-252_7360,23053,0.04187501626686332,-1.2575,36.8025,2
-262_7353,394,0.04185659898477158,-1.3075,36.7675,2
-252_7377,156,0.04174358974358975,-1.2575,36.8875,2
-262_7372,832,0.041701923076923074,-1.3075,36.862500000000004,2
-251_7372,881,0.04169466515323496,-1.2525,36.862500000000004,2
-262_7371,1151,0.04165747176368375,-1.3075,36.8575,2
-252_7361,7925,0.04156208201892744,-1.2575,36.8075,2
-262_7377,466,0.04140128755364807,-1.3075,36.8875,2
-263_7368,5720,0.04095909090909091,-1.3125,36.8425,2
-264_7355,243,0.040884773662551444,-1.3175000000000001,36.7775,2
-247_7362,1286,0.04087480559875583,-1.2325,36.8125,2
-258_7382,227,0.040861233480176215,-1.2875,36.9125,7
-251_7381,106,0.04072641509433962,-1.2525,36.9075,7
-262_7358,102,0.04072549019607843,-1.3075,36.792500000000004,2
-265_7363,2713,0.0400546443051972,-1.3225,36.8175,2
-254_7361,11193,0.039952849995532926,-1.2675,36.8075,2
-263_7363,8323,0.03975639793343746,-1.3125,36.8175,2
-252_7374,1298,0.03964830508474577,-1.2575,36.8725,2
-256_7344,186,0.039645161290322584,-1.2775,36.722500000000004,4
-256_7348,234,0.03953846153846154,-1.2775,36.7425,4
-264_7365,60748,0.039513580694014616,-1.3175000000000001,36.8275,2
-252_7364,18130,0.03933837562051848,-1.2575,36.8225,2
-248_7380,1185,0.03922025316455696,-1.2375,36.9025,7
-257_7349,207,0.03919806763285025,-1.2825,36.7475,4
-264_7366,7471,0.0391669120599652,-1.3175000000000001,36.8325,2
-241_7382,247,0.03908502024291498,-1.2025000000000001,36.9125,5
-262_7364,15530,0.039025853187379264,-1.3075,36.8225,2
-251_7373,718,0.03887395543175488,-1.2525,36.8675,2
-266_7368,20802,0.03884864436111912,-1.3275000000000001,36.8425,2
-265_7368,14193,0.0387675262453322,-1.3225,36.8425,2
-263_7360,1401,0.038651677373304785,-1.3125,36.8025,2
-246_7362,193,0.038637305699481865,-1.2275,36.8125,2
-266_7364,10621,0.03863150833254873,-1.3275000000000001,36.8225,2
-234_7384,112,0.03850892857142857,-1.1675,36.9225,5
-256_7374,1219,0.03845077932731747,-1.2775,36.8725,2
-263_7365,33694,0.03840569537603134,-1.3125,36.8275,2
-250_7372,594,0.03835016835016835,-1.2475,36.862500000000004,2
-251_7377,563,0.03833747779751332,-1.2525,36.8875,7
-251_7375,1119,0.03833623771224307,-1.2525,36.8775,2
-258_7373,1536,0.0383115234375,-1.2875,36.8675,2
-264_7384,229,0.038218340611353714,-1.3175000000000001,36.9225,7
-268_7378,780,0.0381676282051282,-1.3375000000000001,36.8925,7
-264_7367,18158,0.03807606839960348,-1.3175000000000001,36.8375,2
-259_7378,3035,0.038054530477759474,-1.2925,36.8925,7
